ID,LOAN_AMNT,TERM,INT_RATE,INSTALLMENT,EMP_LENGTH,HOME_OWNERSHIP,ANNUAL_INC,VERIFICATION_STATUS,ADDR_STATE,DTI,DELINQ_2YRS,inq_last_6mths,PUB_REC,REVOL_BAL,REVOL_UTIL,TOTAL_ACC
1,5000,1.568938e6,10.65,162.87,10,RENT,24000,VERIFIED - income,AZ,27.65,0,1,0,13648,83.7,9
2,2500, 60 months,15.27,59.83,0,RENT,30000,verified,GA,1,0,5,0,1687,9.4,4
3,2400, 36 months,15.96,84.33,10,RENT,12252,not verified,IL,8.72,0,2,0,2956,98.5,10
4,10000, 36 months,13.49,339.31,10,RENT,49200,verified,CA,20,0,1,0,5598,21,37
5,5000, 36 months,7.9,156.46,3,RENT,36000,verified,AZ,11.2,0,3,0,7963,28.3,12
6,3000, 36 months,18.64,109.43,9,RENT,48000,verified,CA,5.35,0,2,0,8221,87.5,4
7,5600, 60 months,21.28,152.39,4,OWN,40000,verified,CA,5.55,0,2,0,5210,32.6,13
8,5375, 60 months,12.69,121.45,0,RENT,15000,VERIFIED - income,TX,18.08,0,0,0,9279,36.5,3
9,6500, 60 months,14.65,153.45,5,OWN,72000,not verified,AZ,16.12,0,2,0,4032,20.6,23
10,12000, 36 months,12.69,402.54,10,OWN,75000,verified,CA,10.78,0,0,0,23336,67.1,34
11,9000, 36 months,13.49,305.38,0,RENT,30000,verified,VA,10.08,0,1,0,10452,91.7,9
12,3000, 36 months,9.91,96.68,3,RENT,15000,verified,IL,12.56,0,2,0,7323,43.1,11
13,10000, 36 months,10.65,325.74,3,RENT,100000,verified,CA,7.06,0,2,0,11997,55.5,29
14,1000, 36 months,16.29,35.31,0,RENT,28000,not verified,MO,20.31,0,1,0,6524,81.5,23
15,10000, 36 months,15.27,347.98,4,RENT,42000,not verified,CA,18.6,0,2,0,24043,70.2,28
